City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
87,Vardo,NO,70.3705,31.1107,44.58,93,100,10.36,light intensity drizzle,2022-09-08 03:10:16
88,Pevek,RU,69.7008,170.3133,46.58,53,21,22.3,few clouds,2022-09-08 03:10:16
89,Orange Cove,US,36.6244,-119.3137,100.06,24,40,8.05,scattered clouds,2022-09-08 03:10:16
90,Bethel,US,41.3712,-73.414,67.01,82,98,4.09,overcast clouds,2022-09-08 03:10:16
91,Saskylakh,RU,71.9167,114.0833,40.08,64,68,6.76,broken clouds,2022-09-08 03:10:17
92,Carballo,ES,43.213,-8.691,64.09,92,92,3.74,overcast clouds,2022-09-08 03:11:17
93,Vilcun,CL,-38.65,-72.2333,30.94,97,22,2.26,few clouds,2022-09-08 03:11:17
94,Anadyr,RU,64.75,177.4833,48.7,53,0,6.71,clear sky,2022-09-08 03:11:17
95,Wukari,NG,7.85,9.7833,72.07,96,84,7.31,broken clouds,2022-09-08 03:11:18
96,Saint Anthony,US,45.0205,-93.218,76.93,79,0,6.91,clear sky,2022-09-08 03:11:18
97,Khromtau,KZ,50.2503,58.4347,48.7,49,26,8.05,scattered clouds,2022-09-08 03:11:18
98,Mhango,TZ,-3.2833,32.85,65.95,74,76,5.64,broken clouds,2022-09-08 03:11:18
99,Butaritari,KI,3.0707,172.7902,81.64,72,26,15.57,scattered clouds,2022-09-08 03:11:19
100,Noumea,NC,-22.2763,166.4572,76.98,70,44,15.05,scattered clouds,2022-09-08 03:11:19
101,Ostrovnoy,RU,68.0531,39.5131,40.86,91,100,17.85,overcast clouds,2022-09-08 03:11:19
102,Virginia Beach,US,36.8529,-75.978,75.24,86,100,13.8,overcast clouds,2022-09-08 03:11:19
103,Turukhansk,RU,65.8167,87.9833,39.27,90,100,16.33,light rain,2022-09-08 03:11:20
104,Kambove,CD,-10.8764,26.5969,57.97,50,1,3.91,clear sky,2022-09-08 03:11:20
105,Hithadhoo,MV,-0.6,73.0833,82.15,71,71,14.29,broken clouds,2022-09-08 03:11:20
106,Broken Hill,AU,-31.95,141.4333,64.15,43,1,22.3,clear sky,2022-09-08 03:11:20
107,Killybegs,IE,54.6333,-8.45,55.17,91,80,7.85,broken clouds,2022-09-08 03:11:21
108,Dingle,PH,10.9995,122.6711,86.14,72,68,4.54,broken clouds,2022-09-08 03:11:21
109,Acapulco,MX,16.8634,-99.8901,82.22,78,100,8.05,overcast clouds,2022-09-08 03:11:21
110,Buchanan,LR,5.8808,-10.0467,74.97,85,34,7.25,scattered clouds,2022-09-08 03:11:21
111,Hamada,JP,34.8833,132.0833,79.34,60,73,13.82,broken clouds,2022-09-08 03:11:22
112,Zemio,CF,5.0314,25.1361,66.7,98,100,2.48,light rain,2022-09-08 03:11:22
113,Geraldton,AU,-28.7667,114.6,59.41,88,91,6.91,overcast clouds,2022-09-08 03:11:22
114,Berlevag,NO,70.8578,29.0864,48.2,93,100,22.21,overcast clouds,2022-09-08 03:11:22
115,Kaitangata,NZ,-46.2817,169.8464,51.46,53,28,4.47,scattered clouds,2022-09-08 03:11:23
116,Namatanai,PG,-3.6667,152.4333,84.24,70,98,10.85,overcast clouds,2022-09-08 03:11:23
117,Esperance,AU,-33.8667,121.9,56.91,65,100,10.54,overcast clouds,2022-09-08 03:11:23
118,Tiarei,PF,-17.5333,-149.3333,82.42,77,3,22.68,light rain,2022-09-08 03:11:24
119,Mahebourg,MU,-20.4081,57.7,68.29,77,75,11.5,broken clouds,2022-09-08 03:11:24
120,Ponta Do Sol,PT,32.6667,-17.1,72.72,76,1,3.4,clear sky,2022-09-08 03:11:24
121,Almeria,ES,37.1667,-2.3333,66.43,29,61,5.44,broken clouds,2022-09-08 03:11:24
122,Ratnagiri,IN,16.9833,73.3,78.57,86,98,7.58,overcast clouds,2022-09-08 03:11:25
123,Pemba,MZ,-12.974,40.5178,69.96,75,0,10.58,clear sky,2022-09-08 03:11:25
124,Tiksi,RU,71.6872,128.8694,43.74,77,100,10.4,overcast clouds,2022-09-08 03:11:25
125,Torbay,CA,47.6666,-52.7314,54.28,95,100,10.36,light intensity shower rain,2022-09-08 03:11:26
126,Kabansk,RU,52.0486,106.6528,77.02,40,18,3.31,few clouds,2022-09-08 03:11:26
127,Brae,GB,60.3964,-1.353,55.27,88,100,18.7,overcast clouds,2022-09-08 03:11:26
128,Isangel,VU,-19.55,169.2667,80.76,71,9,4.85,clear sky,2022-09-08 03:11:26
129,San Patricio,US,28.017,-97.5169,82.26,75,73,6.96,broken clouds,2022-09-08 03:11:27
130,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,87,0,9.22,clear sky,2022-09-08 03:11:27
131,Aleksandrovskiy Zavod,RU,50.9237,117.9374,63.25,39,44,5.7,scattered clouds,2022-09-08 03:11:27
132,Vidim,RU,56.4088,103.1106,63.91,70,100,8.84,overcast clouds,2022-09-08 03:11:27
133,Havre,FR,49.5833,0.3333,60.57,88,75,9.22,broken clouds,2022-09-08 03:11:28
134,Ulagan,RU,50.6321,87.9563,70.05,31,100,3.62,overcast clouds,2022-09-08 03:11:28
135,Cabo San Lucas,MX,22.8909,-109.9124,80.51,90,100,8.01,overcast clouds,2022-09-08 03:11:28
136,Esna,EG,25.2934,32.554,80.46,41,0,8.84,clear sky,2022-09-08 03:11:28
137,Ilulissat,GL,69.2167,-51.1,39.22,87,75,2.3,broken clouds,2022-09-08 03:11:29
138,Ustye,RU,59.6304,39.736,39.13,93,97,10.29,overcast clouds,2022-09-08 03:11:29
139,Necochea,AR,-38.5473,-58.7368,50.58,84,100,12.77,overcast clouds,2022-09-08 03:12:29
140,Boa Vista,BR,2.8197,-60.6733,76.98,82,20,3.44,few clouds,2022-09-08 03:12:29
141,Hamilton,US,39.1834,-84.5333,68.02,87,20,3.44,few clouds,2022-09-08 03:12:30
142,Matara,LK,5.9485,80.5353,81.19,77,100,12.06,overcast clouds,2022-09-08 03:12:30
143,Palaikastron,GR,35.2,26.25,73.35,66,0,22.97,clear sky,2022-09-08 03:12:30
144,Samana,DO,19.2056,-69.3369,77.52,88,36,1.54,scattered clouds,2022-09-08 03:12:30
145,Ahuimanu,US,21.4447,-157.8378,85.75,64,0,16.11,clear sky,2022-09-08 03:12:31
146,Castro,BR,-24.7911,-50.0119,55.71,94,0,4.03,clear sky,2022-09-08 03:12:31
147,Busselton,AU,-33.65,115.3333,56.79,67,100,7.14,overcast clouds,2022-09-08 03:12:31
148,Rio Gallegos,AR,-51.6226,-69.2181,38.75,45,99,7.72,overcast clouds,2022-09-08 03:12:31
149,Marawi,PH,7.9986,124.2928,81.43,65,100,1.99,overcast clouds,2022-09-08 03:12:32
150,Avarua,CK,-21.2078,-159.775,78.85,78,40,14.97,scattered clouds,2022-09-08 03:12:32
151,Roald,NO,62.5833,6.1333,54.75,93,100,4.61,overcast clouds,2022-09-08 03:12:32
152,Salalah,OM,17.0151,54.0924,77.09,94,75,3.44,light intensity drizzle,2022-09-08 03:12:32
153,Mitsamiouli,KM,-11.3847,43.2844,74.62,72,0,6.73,clear sky,2022-09-08 03:12:33
