City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
363,Lakatoro,VU,82.76,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
364,Sandakan,MY,85.68,scattered clouds,5.8402,118.1179,Hotel Sandakan
365,Jardim,BR,74.41,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
367,Moa,CU,79.02,clear sky,20.6569,-74.9403,Carmen
370,Luganville,VU,83.68,clear sky,-15.5333,167.1667,The Espiritu Hotel
371,Bubaque,GW,79.86,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
372,Biak,ID,82.13,overcast clouds,-0.9131,122.8766,Penginapan Kim
374,Sarkand,KZ,82.94,clear sky,45.41,79.9186,Гостиница Сарканд
376,Moussoro,TD,84.72,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
380,Porto Velho,BR,77.05,smoke,-8.7619,-63.9039,Ecos Hotel Conforto
381,Pontianak,ID,78.78,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
382,Saint-Pierre,RE,71.91,broken clouds,-21.3393,55.4781,Alize Plage
383,Chabahar,IR,79.14,few clouds,25.2919,60.643,هتل گدروشیا
384,Cayenne,GF,75.24,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
385,Jertih,MY,82.58,heavy intensity rain,5.7336,102.4897,One Utama Hotel
386,Bulgan,MN,71.83,clear sky,48.8125,103.5347,Unitel Булган салбар
388,Hurghada,EG,80.49,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
389,Chengde,CN,84.33,clear sky,40.9725,117.9361,Super 8 Hotel
391,Burkburnett,US,83.89,clear sky,34.0979,-98.5706,Best Western Red River Inn
392,Shimoda,JP,80.96,light rain,34.6667,138.95,Shimoda Tokyu Hotel
394,Sibolga,ID,83.62,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
395,Awbari,LY,77.97,clear sky,26.5921,12.7805,فندق أوباري
396,Kumi,KR,80.28,few clouds,36.1136,128.336,Hotel Geumosan
400,Itarema,BR,77.38,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
401,Marsh Harbour,BS,83.41,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
402,Lompoc,US,82.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
403,Hohhot,CN,73.69,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
404,Evansville,US,73.45,clear sky,37.9748,-87.5558,Le Merigot Hotel
405,Mae Chan,TH,80.26,overcast clouds,20.1467,99.8526,Kiang Dao Resort
412,Galle,LK,79.88,overcast clouds,6.0367,80.217,Amangalla
413,Banda Aceh,ID,84.96,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
416,Karachi,PK,82.22,few clouds,24.9056,67.0822,Sadaat
420,Gushikawa,JP,85.62,scattered clouds,26.3544,127.8686,Kirari Guest House
422,Sinnamary,GF,78.58,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
424,Temerloh,MY,79.52,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
427,Kijang,KR,82.13,broken clouds,35.2442,129.2139,Samyang Beach Villa
433,Carberry,CA,70.03,clear sky,49.8689,-99.3602,Carberry Motor Inn
434,Awjilah,LY,70.21,clear sky,29.1081,21.2869,المنزل
435,Syracuse,IT,76.59,few clouds,37.0881,15.2792,Hotel Posta
436,Mayo,US,70.21,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
437,Kudahuvadhoo,MV,82.26,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
438,Mujiayingzi,CN,86.45,clear sky,42.1167,118.7833,Jinjiang Hotel
439,Carman,CA,71.94,clear sky,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
444,Hobyo,SO,75.24,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
445,Cocorit,MX,79.72,overcast clouds,27.5833,-109.9667,Kaba Motel
447,Touros,BR,73.04,clear sky,-5.1989,-35.4608,INN NEW HORIZON
448,Preobrazheniye,RU,73.13,clear sky,42.9019,133.9064,Campsite Orlan
449,Hirara,JP,85.86,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
451,Basco,PH,82.54,broken clouds,20.4487,121.9702,Nathaniel's Lodge
453,Paracuru,BR,79.11,clear sky,-3.41,-39.0306,Hotel Vento Brasil
454,Umbertide,IT,74.01,overcast clouds,43.3055,12.3366,La Casa del Falegname
457,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
459,Sao Filipe,CV,78.03,broken clouds,14.8961,-24.4956,Hotel Xaguate
464,Ciudad Bolivar,VE,75.9,overcast clouds,8.1222,-63.5497,Hotel Edi
467,Astrea,CO,76.8,overcast clouds,9.4983,-73.9759,Hotel y restaurante central
468,Mersing,MY,82.31,scattered clouds,2.4312,103.8405,Timotel Hotel
472,Upata,VE,70.07,broken clouds,8.0086,-62.3989,Posada Villa Nela
475,Ta Khmau,KH,84.25,broken clouds,11.4833,104.95,Takhmao Good Health Hotel
477,Panzhihua,CN,78.6,scattered clouds,26.5851,101.7128,Electric Power Hotel
478,Garowe,SO,73.53,broken clouds,8.4054,48.4845,Curubo Hotel
479,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
480,Tautira,PF,76.69,light rain,-17.7333,-149.15,Pension Oaoa
485,Houma,US,75.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
488,Korla,CN,86.32,clear sky,41.7597,86.1469,Gulisitan Hotel
490,Yoichi,JP,73.76,clear sky,43.2039,140.7703,Marumatta Farm 21
491,Nagato,JP,78.94,scattered clouds,34.3833,131.2,いそう庵
493,Auki,SB,87.06,broken clouds,-8.7676,160.7034,Auki Motel
495,Tazmalt,DZ,82.22,clear sky,36.3868,4.3989,Hôtel Numédia
